FrameNumber,ObjectNumber,Range,Velocity,PeakValue,x,y
1,1,0.39266,0.00016101,0,0.39189,-0.024541
1,2,0.65443,0.00029095,0,0.63365,-0.16361
1,3,3.9702,0.021085,0,3.4383,1.9851
1,4,5.6281,0.016601,0,5.3462,1.7588
1,5,7.0678,0.066566,0,6.1209,-3.5339
1,6,7.5041,0.014488,0,7.3224,1.6415
1,7,7.5041,0.065957,0,6.6286,-3.5176
1,8,7.635,0.019533,0,7.3926,1.9088
2,1,0.39266,0.00016101,0,0.39189,-0.024541
2,2,0.69806,0.00035098,0,0.66988,-0.19633
2,3,3.9702,0.021085,0,3.4383,1.9851
2,4,5.6281,0.016601,0,5.3462,1.7588
2,5,7.0678,0.066566,0,6.1209,-3.5339
2,6,7.5041,0.014488,0,7.3224,1.6415
2,7,7.635,0.019533,0,7.3926,1.9088
3,1,0.39266,0.00016101,0,0.39189,-0.024541
3,2,0.69806,0.00031057,0,0.67589,-0.17451
3,3,3.9702,0.021085,0,3.4383,1.9851
3,4,5.6281,0.016601,0,5.3462,1.7588
3,5,7.0678,0.066566,0,6.1209,-3.5339
3,6,7.5041,0.014488,0,7.3224,1.6415
3,7,7.635,0.019533,0,7.3926,1.9088
4,1,0.39266,0.00016101,0,0.39189,-0.024541
4,2,0.65443,0.00029095,0,0.63365,-0.16361
4,3,3.9702,0.021085,0,3.4383,1.9851
4,4,5.6281,0.016601,0,5.3462,1.7588
4,5,7.0678,0.066566,0,6.1209,-3.5339
4,6,7.5041,0.014488,0,7.3224,1.6415
4,7,7.635,0.019533,0,7.3926,1.9088
5,1,0.39266,0.00016101,0,0.39189,-0.024541
5,2,0.69806,0.00027491,0,0.68115,-0.1527
5,3,3.9702,0.021085,0,3.4383,1.9851
5,4,5.6281,0.016601,0,5.3462,1.7588
5,5,7.0678,0.066566,0,6.1209,-3.5339
5,6,7.5041,0.014488,0,7.3224,1.6415
5,7,7.635,0.019533,0,7.3926,1.9088
6,1,0.39266,0.00016101,0,0.39189,-0.024541
6,2,0.69806,0.00027491,0,0.68115,-0.1527
6,3,3.9702,0.021085,0,3.4383,1.9851
6,4,5.6281,0.016601,0,5.3462,1.7588
6,5,7.0678,0.066566,0,6.1209,-3.5339
6,6,7.5041,0.014488,0,7.3224,1.6415
6,7,7.635,0.019533,0,7.3926,1.9088
7,1,0.39266,0.00016101,0,0.39189,-0.024541
7,2,0.69806,0.00031057,0,0.67589,-0.17451
7,3,3.9702,0.021085,0,3.4383,1.9851
7,4,5.6281,0.016601,0,5.3462,1.7588
7,5,7.0678,0.066566,0,6.1209,-3.5339
7,6,7.5041,0.014488,0,7.3224,1.6415
7,7,7.635,0.019533,0,7.3926,1.9088
8,1,0.39266,0.00016101,0,0.39189,-0.024541
8,2,0.69806,0.00031057,0,0.67589,-0.17451
8,3,3.9702,0.021085,0,3.4383,1.9851
8,4,5.6281,0.016601,0,5.3462,1.7588
8,5,7.0678,0.066566,0,6.1209,-3.5339
8,6,7.5041,0.014488,0,7.3224,1.6415
8,7,7.635,0.019533,0,7.3926,1.9088
9,1,0.39266,0.00016101,0,0.39189,-0.024541
9,2,0.69806,0.00027491,0,0.68115,-0.1527
9,3,3.9702,0.021085,0,3.4383,1.9851
9,4,5.6281,0.016601,0,5.3462,1.7588
9,5,7.0678,0.066566,0,6.1209,-3.5339
9,6,7.5041,0.014488,0,7.3224,1.6415
9,7,7.635,0.019533,0,7.3926,1.9088
10,1,0.39266,0.00016101,0,0.39189,-0.024541
10,2,0.69806,0.00027491,0,0.68115,-0.1527
10,3,3.9702,0.021085,0,3.4383,1.9851
10,4,5.6281,0.016601,0,5.3462,1.7588
10,5,7.0678,0.066566,0,6.1209,-3.5339
10,6,7.5041,0.014488,0,7.3224,1.6415
10,7,7.635,0.019533,0,7.3926,1.9088
11,1,0.39266,0.00016101,0,0.39189,-0.024541
11,2,0.69806,0.00027491,0,0.68115,-0.1527
11,3,3.9702,0.021085,0,3.4383,1.9851
11,4,5.6281,0.016601,0,5.3462,1.7588
11,5,7.0678,0.066566,0,6.1209,-3.5339
11,6,7.5041,0.014488,0,7.3224,1.6415
11,7,7.635,0.019533,0,7.3926,1.9088
12,1,0.39266,0.00016101,0,0.39189,-0.024541
12,2,0.69806,0.00031057,0,0.67589,-0.17451
12,3,3.9702,0.021085,0,3.4383,1.9851
12,4,5.6281,0.016601,0,5.3462,1.7588
12,5,7.0678,0.066566,0,6.1209,-3.5339
12,6,7.5041,0.014488,0,7.3224,1.6415
12,7,7.635,0.019533,0,7.3926,1.9088
13,1,0.39266,0.00016101,0,0.39189,-0.024541
13,2,0.69806,0.00035098,0,0.66988,-0.19633
13,3,3.9702,0.021085,0,3.4383,1.9851
13,4,5.6281,0.016601,0,5.3462,1.7588
13,5,7.0678,0.066566,0,6.1209,-3.5339
13,6,7.5041,0.014488,0,7.3224,1.6415
13,7,7.635,0.019533,0,7.3926,1.9088
14,1,0.39266,0.00015908,0,0.39247,-0.012271
14,2,0.69806,0.00031057,0,0.67589,-0.17451
14,3,3.9702,0.021085,0,3.4383,1.9851
14,4,5.6281,0.016601,0,5.3462,1.7588
14,5,7.0678,0.066566,0,6.1209,-3.5339
14,6,7.5041,0.014488,0,7.3224,1.6415
14,7,7.635,0.019533,0,7.3926,1.9088
15,1,0.39266,0.00016101,0,0.39189,-0.024541
15,2,0.69806,0.00027491,0,0.68115,-0.1527
15,3,3.9702,0.021085,0,3.4383,1.9851
15,4,5.6281,0.016601,0,5.3462,1.7588
15,5,7.0678,0.066566,0,6.1209,-3.5339
15,6,7.635,0.019533,0,7.3926,1.9088
16,1,0.69806,0.00031057,0,0.67589,-0.17451
16,2,3.9702,0.021085,0,3.4383,1.9851
16,3,5.6281,0.016601,0,5.3462,1.7588
16,4,7.0678,0.066566,0,6.1209,-3.5339
16,5,7.5041,0.014488,0,7.3224,1.6415
16,6,7.635,0.019533,0,7.3926,1.9088
17,1,0.39266,0.00016101,0,0.39189,-0.024541
17,2,0.69806,0.00035098,0,0.66988,-0.19633
17,3,3.9702,0.021085,0,3.4383,1.9851
17,4,5.6281,0.016601,0,5.3462,1.7588
17,5,7.0678,0.066566,0,6.1209,-3.5339
17,6,7.5041,0.014488,0,7.3224,1.6415
17,7,7.635,0.019533,0,7.3926,1.9088
18,1,0.39266,0.00016101,0,0.39189,-0.024541
18,2,0.69806,0.00035098,0,0.66988,-0.19633
18,3,3.9702,0.021085,0,3.4383,1.9851
18,4,5.6281,0.016601,0,5.3462,1.7588
18,5,7.0678,0.066566,0,6.1209,-3.5339
18,6,7.5041,0.014488,0,7.3224,1.6415
18,7,7.635,0.019533,0,7.3926,1.9088
19,1,0.39266,0.00016101,0,0.39189,-0.024541
19,2,0.69806,0.00035098,0,0.66988,-0.19633
19,3,3.9702,0.021085,0,3.4383,1.9851
19,4,5.6281,0.016601,0,5.3462,1.7588
19,5,7.0678,0.066566,0,6.1209,-3.5339
19,6,7.5041,0.014488,0,7.3224,1.6415
19,7,7.635,0.019533,0,7.3926,1.9088
20,1,0.69806,0.00031057,0,0.67589,-0.17451
20,2,3.9702,0.021085,0,3.4383,1.9851
20,3,5.6281,0.016601,0,5.3462,1.7588
20,4,7.0678,0.066566,0,6.1209,-3.5339
20,5,7.635,0.019533,0,7.3926,1.9088
21,1,0.69806,0.00031057,0,0.67589,-0.17451
21,2,3.9702,0.021085,0,3.4383,1.9851
21,3,5.6281,0.016601,0,5.3462,1.7588
21,4,7.0678,0.066566,0,6.1209,-3.5339
21,5,7.5041,0.014488,0,7.3224,1.6415
21,6,7.5041,0.065957,0,6.6286,-3.5176
21,7,7.635,0.019533,0,7.3926,1.9088
21,8,1.5463,0.00015843,0,1.527,0
21,9,0.4111,0.00016425,0,0.39093,-0.036812
22,1,0.69806,0.00031057,0,0.67589,-0.17451
22,2,3.9702,0.021085,0,3.4383,1.9851
22,3,5.6281,0.016601,0,5.3462,1.7588
22,4,7.0678,0.066566,0,6.1209,-3.5339
22,5,7.635,0.019533,0,7.3926,1.9088
22,6,1.5463,0.00017039,0,1.5263,0.047719
22,7,0.36965,0.00016608,0,0.34629,0.043629
23,1,0.69806,0.00039615,0,0.6631,-0.21814
23,2,0.82895,0.00073567,0,0.75746,-0.33676
23,3,3.9702,0.021085,0,3.4383,1.9851
23,4,5.6281,0.016601,0,5.3462,1.7588
23,5,7.0678,0.066566,0,6.1209,-3.5339
23,6,7.5478,0.066725,0,6.6672,-3.538
23,7,7.635,0.019533,0,7.3926,1.9088
23,8,0.36965,0.00016608,0,0.34629,0.043629
24,1,0.69806,0.00035098,0,0.66988,-0.19633
24,2,0.82895,0.00073567,0,0.75746,-0.33676
24,3,3.9702,0.021085,0,3.4383,1.9851
24,4,5.6281,0.016601,0,5.3462,1.7588
24,5,7.0678,0.066566,0,6.1209,-3.5339
24,6,7.635,0.019533,0,7.3926,1.9088
24,7,1.5277,0.00020354,0,1.4805,0.092711
24,8,1.5277,0.0026961,0,1.3103,0.69533
24,9,0.39057,0.00017954,0,0.2957,0.07635
25,1,0.69806,0.00035098,0,0.66988,-0.19633
25,2,0.82895,0.00073567,0,0.75746,-0.33676
25,3,3.9702,0.021085,0,3.4383,1.9851
25,4,5.6281,0.016601,0,5.3462,1.7588
25,5,7.635,0.02468,0,7.3268,2.1473
25,6,1.4853,0.00020089,0,1.4369,-0.089984
25,7,1.4853,0.0014429,0,1.352,0.49491
25,8,1.6551,0.0012426,0,1.5491,0.45401
25,9,1.6551,0.00037259,0,1.6016,-0.20178
25,10,0.39057,0.00017954,0,0.2957,0.07635
25,11,1.7188,0.00069441,0,1.6713,-0.31903
26,1,0.82895,0.00073567,0,0.75746,-0.33676
26,2,3.9702,0.018551,0,3.507,1.861
26,3,5.6281,0.016601,0,5.3462,1.7588
26,4,7.0678,0.066566,0,6.1209,-3.5339
26,5,7.635,0.02468,0,7.3268,2.1473
26,6,1.4853,0.00025397,0,1.4334,-0.13498
26,7,1.4853,0.0010183,0,1.3816,0.40493
26,8,0.39057,0.00015876,0,0.30525,-0.0095438
26,9,0.39057,0.00019142,0,0.29011,0.095438
26,10,1.7188,0.00053064,0,1.6806,0.26586
26,11,1.7188,0.0011113,0,1.6475,-0.42538
27,1,3.9702,0.021085,0,3.4383,1.9851
27,2,5.6281,0.016601,0,5.3462,1.7588
27,3,7.5478,0.058145,0,6.7871,-3.3021
27,4,1.4009,0.0017385,0,1.2359,0.54945
27,5,1.4009,0.00039217,0,1.3359,-0.21133
27,6,0.35749,0.00016829,0,0.25543,-0.057263
28,1,3.9702,0.021085,0,3.4383,1.9851
28,2,5.6281,0.016601,0,5.3462,1.7588
28,3,7.0678,0.066566,0,6.1209,-3.5339
28,4,7.5478,0.058145,0,6.7871,-3.3021
28,5,0.56896,0.00017929,0,0.43093,-0.06817
28,6,0.56896,0.00019931,0,0.42572,0.095438
28,7,0.94591,0.00016223,0,0.87215,-0.027268
28,8,0.94591,0.00070583,0,0.8089,-0.32722
28,9,0.35749,0.00016829,0,0.25543,-0.057263
29,1,3.9702,0.018551,0,3.507,1.861
29,2,7.0678,0.066566,0,6.1209,-3.5339
29,3,7.5478,0.066725,0,6.6672,-3.538
29,4,0.96138,0.00017209,0,0.82732,-0.051809
29,5,0.96138,0.00073567,0,0.75746,-0.33676
29,6,0.3269,0.00016074,0,0.21546,-0.034085
29,7,0.3269,0.00017657,0,0.19616,0.095438
30,1,3.9702,0.018551,0,3.507,1.861
30,2,7.0678,0.066566,0,6.1209,-3.5339
30,3,0.3269,0.00015926,0,0.21718,0.020451
30,4,0.3269,0.00016435,0,0.21122,-0.054536
30,5,7.5953,0.0013556,0,7.5766,-0.47446
30,6,7.5953,0.076774,0,6.5743,-3.7957
31,1,3.9702,0.021085,0,3.4383,1.9851
31,2,0.82672,0.00037742,0,0.71175,0.2086
31,3,0.82672,0.00015843,0,0.74169,0
31,4,0.21278,0.00015878,0,0.16577,0.054536
31,5,0.21278,0.00015878,0,0.16577,-0.054536
32,1,0.7393,0.00024401,0,0.68568,0.13089
32,2,0.21278,0.00015856,0,0.17142,-0.032722
32,3,0.21278,0.00015912,0,0.15693,0.07635
33,1,0.69825,0.00040897,0,0.61455,0.22496
33,2,0.21278,0.00015852,0,0.17237,0.027268
34,1,0.69825,0.0006885,0,0.56675,0.32722
34,2,0.21278,0.00015844,0,0.17417,0.010907
34,3,0.21278,0.00015894,0,0.16178,-0.065443
35,1,0.13089,0.00015422,0,0.12673,0.032722
36,1,0.17875,0.00014365,0,0.11562,0.061353
38,1,5.1918,0.035973,0,4.4962,-2.5959
39,1,0.13089,0.00014897,0,0.12133,0.049082
40,1,0.13089,0.00014897,0,0.12133,0.049082
40,2,0.13089,0.00015679,0,0.12928,-0.020451
