FrameNumber,ObjectNumber,Range,Velocity,PeakValue,x,y
1,1,0.69806,0.00039615,0,0.6631,-0.21814
1,2,3.9702,0.021085,0,3.4383,1.9851
1,3,5.6281,0.016601,0,5.3462,1.7588
1,4,5.759,0.00084712,0,5.7477,-0.35994
1,5,7.5041,0.018874,0,7.2658,1.876
2,1,0.69806,0.00044607,0,0.65552,-0.23996
2,2,3.9702,0.021085,0,3.4383,1.9851
2,3,5.6281,0.016601,0,5.3462,1.7588
2,4,7.5041,0.018874,0,7.2658,1.876
3,1,0.69806,0.00039615,0,0.6631,-0.21814
3,2,3.9702,0.021085,0,3.4383,1.9851
3,3,5.6281,0.016601,0,5.3462,1.7588
3,4,5.759,0.00084712,0,5.7477,-0.35994
3,5,7.5041,0.018874,0,7.2658,1.876
4,1,0.65443,0.00036549,0,0.62165,-0.20451
4,2,3.9702,0.021085,0,3.4383,1.9851
4,3,5.6281,0.016601,0,5.3462,1.7588
4,4,5.759,0.00084712,0,5.7477,-0.35994
4,5,7.5041,0.018874,0,7.2658,1.876
5,1,0.65443,0.00036549,0,0.62165,-0.20451
5,2,3.9702,0.018551,0,3.507,1.861
5,3,5.6281,0.016601,0,5.3462,1.7588
5,4,5.759,0.00084712,0,5.7477,-0.35994
5,5,7.5041,0.018874,0,7.2658,1.876
6,1,0.65443,0.00036549,0,0.62165,-0.20451
6,2,3.9702,0.018551,0,3.507,1.861
6,3,5.6281,0.016601,0,5.3462,1.7588
6,4,5.759,0.00084712,0,5.7477,-0.35994
6,5,7.5041,0.018874,0,7.2658,1.876
7,1,0.65443,0.00036549,0,0.62165,-0.20451
7,2,3.9702,0.018551,0,3.507,1.861
7,3,5.6281,0.016601,0,5.3462,1.7588
7,4,5.759,0.00084712,0,5.7477,-0.35994
7,5,7.5041,0.018874,0,7.2658,1.876
8,1,0.69806,0.00044607,0,0.65552,-0.23996
8,2,3.9702,0.018551,0,3.507,1.861
8,3,5.6281,0.016601,0,5.3462,1.7588
8,4,5.759,0.00084712,0,5.7477,-0.35994
8,5,7.5041,0.018874,0,7.2658,1.876
9,1,0.69806,0.00039615,0,0.6631,-0.21814
9,2,3.9702,0.021085,0,3.4383,1.9851
9,3,5.6281,0.016601,0,5.3462,1.7588
9,4,5.759,0.00084712,0,5.7477,-0.35994
9,5,7.5041,0.018874,0,7.2658,1.876
10,1,0.39266,0.00015843,0,0.39266,0
10,2,0.65443,0.00036549,0,0.62165,-0.20451
10,3,3.9702,0.018551,0,3.507,1.861
10,4,5.6281,0.016601,0,5.3462,1.7588
10,5,5.759,0.00084712,0,5.7477,-0.35994
10,6,7.5041,0.018874,0,7.2658,1.876
11,1,0.65443,0.00036549,0,0.62165,-0.20451
11,2,3.9702,0.018551,0,3.507,1.861
11,3,5.6281,0.016601,0,5.3462,1.7588
11,4,5.759,0.001708,0,5.7336,-0.53991
11,5,7.5041,0.018874,0,7.2658,1.876
12,1,0.69806,0.00039615,0,0.6631,-0.21814
12,2,3.9702,0.021085,0,3.4383,1.9851
12,3,5.6281,0.016601,0,5.3462,1.7588
12,4,5.759,0.00084712,0,5.7477,-0.35994
12,5,7.5041,0.018874,0,7.2658,1.876
13,1,0.65443,0.00036549,0,0.62165,-0.20451
13,2,3.9702,0.018551,0,3.507,1.861
13,3,5.6281,0.016601,0,5.3462,1.7588
13,4,5.759,0.00084712,0,5.7477,-0.35994
13,5,7.5041,0.018874,0,7.2658,1.876
14,1,0.65443,0.00036549,0,0.62165,-0.20451
14,2,3.9702,0.018551,0,3.507,1.861
14,3,5.6281,0.016601,0,5.3462,1.7588
14,4,5.759,0.00084712,0,5.7477,-0.35994
14,5,7.5041,0.018874,0,7.2658,1.876
15,1,0.65443,0.00032615,0,0.62801,-0.18406
15,2,3.9702,0.021085,0,3.4383,1.9851
15,3,5.6281,0.016601,0,5.3462,1.7588
15,4,5.759,0.00084712,0,5.7477,-0.35994
15,5,7.5041,0.018874,0,7.2658,1.876
15,6,0.36965,0.00015843,0,0.34903,0
16,1,3.9702,0.021085,0,3.4383,1.9851
16,2,5.759,0.00084712,0,5.7477,-0.35994
16,3,7.5041,0.018874,0,7.2658,1.876
16,4,0.36965,0.00016273,0,0.34749,0.032722
17,1,0.65443,0.00040897,0,0.61455,-0.22496
17,2,3.9702,0.021085,0,3.4383,1.9851
17,3,5.6281,0.016601,0,5.3462,1.7588
17,4,5.759,0.00084712,0,5.7477,-0.35994
17,5,7.5041,0.018874,0,7.2658,1.876
17,6,0.71165,0.00030291,0,0.58615,0.17179
17,7,0.71165,0.00017448,0,0.60811,-0.057263
17,8,0.36965,0.00016273,0,0.34749,0.032722
18,1,0.65443,0.00040897,0,0.61455,-0.22496
18,2,3.9702,0.021085,0,3.4383,1.9851
18,3,5.6281,0.020054,0,5.2851,1.9347
18,4,5.759,0.001708,0,5.7336,-0.53991
18,5,0.32877,0.00017459,0,0.298,-0.066806
19,1,0.69806,0.00050074,0,0.64712,-0.26177
19,2,3.9702,0.021085,0,3.4383,1.9851
19,3,5.759,0.001708,0,5.7336,-0.53991
19,4,0.32877,0.00017459,0,0.298,0.066806
19,5,0.32877,0.00016668,0,0.30165,-0.047719
20,1,3.9702,0.018551,0,3.507,1.861
20,2,5.759,0.00084712,0,5.7477,-0.35994
20,3,0.32877,0.00015975,0,0.3048,0.019088
21,1,3.9702,0.018551,0,3.507,1.861
21,2,5.759,0.00084712,0,5.7477,-0.35994
21,3,0.28869,0.00017856,0,0.24866,-0.081804
21,4,0.28869,0.00017131,0,0.25346,0.065443
22,1,3.9702,0.018551,0,3.507,1.861
22,2,5.759,0.00084712,0,5.7477,-0.35994
22,3,0.28869,0.00016165,0,0.25972,0.032722
22,4,0.28869,0.00020373,0,0.23123,0.12271
23,1,3.9702,0.018551,0,3.507,1.861
23,2,5.759,0.00084712,0,5.7477,-0.35994
23,3,0.28869,0.00016024,0,0.26062,0.024541
23,4,0.28869,0.00019789,0,0.23539,0.11453
24,1,3.9702,0.021085,0,3.4383,1.9851
24,2,5.759,0.00084712,0,5.7477,-0.35994
24,3,0.28869,0.00016346,0,0.25856,0.040902
25,1,3.9702,0.021085,0,3.4383,1.9851
25,2,5.759,0.00084712,0,5.7477,-0.35994
25,3,0.28869,0.00017474,0,0.25121,0.073623
26,1,3.9702,0.021085,0,3.4383,1.9851
26,2,5.759,0.00084712,0,5.7477,-0.35994
26,3,0.24981,0.00016592,0,0.20934,0.061353
27,1,3.9702,0.021085,0,3.4383,1.9851
27,2,0.24981,0.00016296,0,0.21286,0.047719
28,1,0.24981,0.00015991,0,0.21643,0.027268
29,1,0.24981,0.00015926,0,0.21718,0.020451
30,1,0.24981,0.00015852,0,0.21804,0.006817
30,2,0.24981,0.00016435,0,0.21122,0.054536
31,1,0.21278,0.00015843,0,0.17443,0.0054536
31,2,0.21278,0.00015902,0,0.15946,0.070897
32,1,0.7393,0.00016081,0,0.69772,0.021814
32,2,0.21278,0.00015843,0,0.17451,0
33,1,0.21278,0.00015902,0,0.15946,-0.070897
33,2,0.21278,0.00015843,0,0.17443,-0.0054536
34,1,0.21278,0.00015902,0,0.15946,-0.070897
35,1,0.21278,0.00015912,0,0.15693,-0.07635
36,1,0.17875,0.00015606,0,0.12856,0.024541
37,1,0.17875,0.00014897,0,0.12133,0.049082
37,2,0.17875,0.00014161,0,0.11335,-0.065443
38,1,0.13089,0.00015679,0,0.12928,0.020451
38,2,0.62281,0.00024583,0,0.59601,0.13361
38,3,0.62281,0.00050805,0,0.54924,-0.26723
39,1,0.13089,0.00014365,0,0.11562,0.061353
