FrameNumber,ObjectNumber,Range,Velocity,PeakValue,x,y
1,1,0.65443,0.00019156,0,0.6493,0.081804
1,2,0.65443,0.00025989,0,0.63858,-0.14316
1,3,0.87257,0.00080086,0,0.79732,-0.35448
1,4,3.9702,0.021085,0,3.4383,1.9851
1,5,7.0678,0.066566,0,6.1209,-3.5339
1,6,7.1987,0.06905,0,6.2343,-3.5994
1,7,7.5041,0.014488,0,7.3224,1.6415
2,1,3.9702,0.021085,0,3.4383,1.9851
2,2,7.0678,0.066566,0,6.1209,-3.5339
2,3,7.5041,0.014488,0,7.3224,1.6415
3,1,0.65443,0.00025989,0,0.63858,-0.14316
3,2,0.87257,0.00080086,0,0.79732,-0.35448
3,3,3.9702,0.021085,0,3.4383,1.9851
3,4,5.6281,0.020054,0,5.2851,1.9347
3,5,7.0678,0.066566,0,6.1209,-3.5339
3,6,7.1987,0.06905,0,6.2343,-3.5994
3,7,7.5041,0.014488,0,7.3224,1.6415
4,1,0.65443,0.00023297,0,0.64282,-0.12271
4,2,0.82895,0.00073567,0,0.75746,-0.33676
4,3,3.9702,0.021085,0,3.4383,1.9851
4,4,5.6281,0.020054,0,5.2851,1.9347
4,5,7.0678,0.066566,0,6.1209,-3.5339
4,6,7.1987,0.06905,0,6.2343,-3.5994
4,7,7.5041,0.014488,0,7.3224,1.6415
5,1,0.65443,0.00025989,0,0.63858,-0.14316
5,2,0.65443,0.00021019,0,0.64639,0.10225
5,3,3.9702,0.021085,0,3.4383,1.9851
5,4,5.6281,0.020054,0,5.2851,1.9347
5,5,7.0678,0.066566,0,6.1209,-3.5339
5,6,7.1987,0.06905,0,6.2343,-3.5994
5,7,7.5041,0.014488,0,7.3224,1.6415
6,1,3.9702,0.021085,0,3.4383,1.9851
6,2,5.6281,0.020054,0,5.2851,1.9347
6,3,7.0678,0.066566,0,6.1209,-3.5339
6,4,7.1987,0.06905,0,6.2343,-3.5994
6,5,7.5041,0.014488,0,7.3224,1.6415
7,1,0.65443,0.00023297,0,0.64282,-0.12271
7,2,3.9702,0.021085,0,3.4383,1.9851
7,3,5.6281,0.020054,0,5.2851,1.9347
7,4,7.1987,0.06905,0,6.2343,-3.5994
7,5,7.5041,0.014488,0,7.3224,1.6415
8,1,0.6108,0.00022264,0,0.59997,-0.11453
8,2,3.9702,0.021085,0,3.4383,1.9851
8,3,5.6281,0.016601,0,5.3462,1.7588
8,4,7.0678,0.066566,0,6.1209,-3.5339
8,5,7.1987,0.06905,0,6.2343,-3.5994
8,6,7.5041,0.014488,0,7.3224,1.6415
9,1,0.6108,0.00022264,0,0.59997,-0.11453
9,2,3.9702,0.021085,0,3.4383,1.9851
9,3,5.6281,0.016601,0,5.3462,1.7588
9,4,7.0678,0.066566,0,6.1209,-3.5339
9,5,7.5041,0.014488,0,7.3224,1.6415
10,1,0.87257,0.00080086,0,0.79732,-0.35448
10,2,3.9702,0.021085,0,3.4383,1.9851
10,3,5.6281,0.016601,0,5.3462,1.7588
10,4,7.0678,0.066566,0,6.1209,-3.5339
10,5,7.1987,0.06905,0,6.2343,-3.5994
10,6,7.5041,0.014488,0,7.3224,1.6415
11,1,0.6108,0.00024583,0,0.59601,-0.13361
11,2,3.9702,0.021085,0,3.4383,1.9851
11,3,5.6281,0.016601,0,5.3462,1.7588
11,4,7.0678,0.066566,0,6.1209,-3.5339
11,5,7.5041,0.014488,0,7.3224,1.6415
12,1,0.6108,0.00024583,0,0.59601,-0.13361
12,2,3.9702,0.021085,0,3.4383,1.9851
12,3,5.6281,0.016601,0,5.3462,1.7588
12,4,7.0678,0.066566,0,6.1209,-3.5339
12,5,7.1987,0.06905,0,6.2343,-3.5994
12,6,7.5041,0.014488,0,7.3224,1.6415
13,1,0.6108,0.00024583,0,0.59601,-0.13361
13,2,3.9702,0.021085,0,3.4383,1.9851
13,3,7.0678,0.066566,0,6.1209,-3.5339
13,4,7.5041,0.014488,0,7.3224,1.6415
13,5,0.4111,0.0001901,0,0.38315,-0.085894
14,1,3.9702,0.021085,0,3.4383,1.9851
14,2,7.0678,0.066566,0,6.1209,-3.5339
14,3,7.5041,0.014488,0,7.3224,1.6415
15,1,0.82895,0.00073567,0,0.75746,-0.33676
15,2,3.9702,0.021085,0,3.4383,1.9851
15,3,7.0678,0.066566,0,6.1209,-3.5339
15,4,7.5041,0.014488,0,7.3224,1.6415
15,5,0.42555,0.00018186,0,0.34058,-0.07635
16,1,0.65443,0.00032615,0,0.62801,-0.18406
16,2,3.9702,0.021085,0,3.4383,1.9851
16,3,7.0678,0.066566,0,6.1209,-3.5339
16,4,7.5041,0.014488,0,7.3224,1.6415
16,5,0.42555,0.00015891,0,0.34886,-0.010907
16,6,0.42555,0.00023925,0,0.31893,0.14179
16,7,1.762,0.00055017,0,1.7237,0.27268
16,8,1.762,0.00092624,0,1.7029,-0.38175
17,1,3.9702,0.021085,0,3.4383,1.9851
17,2,7.0678,0.066566,0,6.1209,-3.5339
17,3,0.74752,0.00019635,0,0.56021,0.088621
17,4,0.74752,0.00021303,0,0.55711,-0.10634
17,5,0.39057,0.00015876,0,0.30525,0.0095438
17,6,0.39057,0.00020594,0,0.28311,0.11453
17,7,1.7188,0.00069441,0,1.6713,-0.31903
17,8,1.7188,0.00053064,0,1.6806,0.26586
18,1,3.9702,0.018551,0,3.507,1.861
18,2,7.5478,0.066725,0,6.6672,-3.538
18,3,0.63833,0.00017874,0,0.51944,0.065443
18,4,0.63833,0.00026126,0,0.50241,-0.14725
18,5,1.6125,0.0002724,0,1.5637,-0.14725
18,6,1.6757,0.0015711,0,1.5749,-0.51809
18,7,1.6757,0.00021494,0,1.6546,0.10362
18,8,0.32877,0.00019835,0,0.28679,0.10498
18,9,0.32877,0.00015876,0,0.30525,0.0095438
19,1,3.9702,0.021085,0,3.4383,1.9851
19,2,0.60307,0.00018448,0,0.47402,0.074987
19,3,0.28869,0.00015923,0,0.26126,0.016361
20,1,0.82895,0.00073567,0,0.75746,-0.33676
20,2,3.9702,0.021085,0,3.4383,1.9851
20,3,7.0678,0.066566,0,6.1209,-3.5339
20,4,7.5478,0.058145,0,6.7871,-3.3021
20,5,0.56896,0.00017178,0,0.43286,-0.054536
20,6,0.56896,0.00022601,0,0.41868,0.12271
20,7,0.35749,0.00017856,0,0.24866,0.081804
20,8,0.35749,0.00015863,0,0.26164,-0.0081804
21,1,4.581,0.028033,0,3.9673,-2.2905
21,2,7.0678,0.066566,0,6.1209,-3.5339
21,3,0.53624,0.0001817,0,0.38569,0.073623
21,4,0.24981,0.00016768,0,0.20722,0.06817
22,1,4.581,0.028033,0,3.9673,-2.2905
22,2,7.0678,0.066566,0,6.1209,-3.5339
22,3,0.46201,0.00016877,0,0.38958,-0.049082
22,4,0.24981,0.00016963,0,0.20485,0.074987
23,1,7.0678,0.066566,0,6.1209,-3.5339
23,2,0.24981,0.00017657,0,0.19616,0.095438
23,3,0.24981,0.00015926,0,0.21718,0.020451
24,1,0.21278,0.00015852,0,0.17237,0.027268
25,1,0.7393,0.00069329,0,0.61662,0.32722
25,2,1.5894,0.0006143,0,1.5428,0.29449
25,3,1.5894,0.0006143,0,1.5428,-0.29449
25,4,0.21278,0.00015852,0,0.17237,0.027268
26,1,0.7393,0.00039615,0,0.6631,0.21814
26,2,1.5894,0.00036104,0,1.5583,0.19633
26,3,1.5894,0.00096886,0,1.5208,-0.39266
26,4,0.21278,0.00015849,0,0.17315,0.021814
27,1,0.17875,0.00015784,0,0.13031,0.012271
27,2,0.17875,0.00014365,0,0.11562,0.061353
28,1,0.17875,0.00014365,0,0.11562,0.061353
28,2,0.17875,0.00015784,0,0.13031,0.012271
29,1,5.1918,0.035973,0,4.4962,-2.5959
29,2,0.17875,0.00014555,0,0.1177,0.057263
30,1,0.13089,0.00014732,0,0.1196,0.053172
