FrameNumber,ObjectNumber,Range,Velocity,PeakValue,x,y
1,1,0.65443,0.00029095,0,0.63365,-0.16361
1,2,0.87257,0.00080086,0,0.79732,-0.35448
1,3,3.9702,0.021085,0,3.4383,1.9851
1,4,5.6281,0.016601,0,5.3462,1.7588
1,5,7.0678,0.066566,0,6.1209,-3.5339
1,6,7.5478,0.058145,0,6.7871,-3.3021
1,7,7.635,0.019533,0,7.3926,1.9088
2,1,0.69806,0.00016794,0,0.69669,-0.043629
2,2,0.87257,0.00070583,0,0.8089,-0.32722
2,3,3.9702,0.018551,0,3.507,1.861
2,4,5.6281,0.016601,0,5.3462,1.7588
2,5,7.0678,0.066566,0,6.1209,-3.5339
2,6,7.5478,0.058145,0,6.7871,-3.3021
2,7,7.635,0.019533,0,7.3926,1.9088
3,1,0.65443,0.00025989,0,0.63858,-0.14316
3,2,0.87257,0.00070583,0,0.8089,-0.32722
3,3,3.9702,0.021085,0,3.4383,1.9851
3,4,5.6281,0.016601,0,5.3462,1.7588
3,5,7.0678,0.066566,0,6.1209,-3.5339
3,6,7.5478,0.058145,0,6.7871,-3.3021
4,1,0.69806,0.00016794,0,0.69669,-0.043629
4,2,0.87257,0.00070583,0,0.8089,-0.32722
4,3,3.9702,0.021085,0,3.4383,1.9851
4,4,5.6281,0.016601,0,5.3462,1.7588
4,5,7.0678,0.066566,0,6.1209,-3.5339
4,6,7.5478,0.058145,0,6.7871,-3.3021
5,1,0.69806,0.00027491,0,0.68115,-0.1527
5,2,0.87257,0.00070583,0,0.8089,-0.32722
5,3,3.9702,0.021085,0,3.4383,1.9851
5,4,5.6281,0.016601,0,5.3462,1.7588
5,5,7.0678,0.066566,0,6.1209,-3.5339
5,6,7.5478,0.058145,0,6.7871,-3.3021
5,7,7.635,0.019533,0,7.3926,1.9088
6,1,0.69806,0.00031057,0,0.67589,-0.17451
6,2,0.87257,0.00070583,0,0.8089,-0.32722
6,3,3.9702,0.021085,0,3.4383,1.9851
6,4,5.6281,0.016601,0,5.3462,1.7588
6,5,7.0678,0.066566,0,6.1209,-3.5339
6,6,7.5478,0.066725,0,6.6672,-3.538
6,7,7.635,0.019533,0,7.3926,1.9088
7,1,0.69806,0.00027491,0,0.68115,-0.1527
7,2,0.87257,0.00070583,0,0.8089,-0.32722
7,3,3.9702,0.021085,0,3.4383,1.9851
7,4,5.6281,0.016601,0,5.3462,1.7588
7,5,7.0678,0.066566,0,6.1209,-3.5339
7,6,7.5478,0.066725,0,6.6672,-3.538
7,7,7.635,0.019533,0,7.3926,1.9088
8,1,0.69806,0.00027491,0,0.68115,-0.1527
8,2,0.87257,0.00070583,0,0.8089,-0.32722
8,3,3.9702,0.021085,0,3.4383,1.9851
8,4,5.6281,0.016601,0,5.3462,1.7588
8,5,7.0678,0.066566,0,6.1209,-3.5339
8,6,7.5478,0.066725,0,6.6672,-3.538
8,7,7.635,0.019533,0,7.3926,1.9088
9,1,0.69806,0.00027491,0,0.68115,-0.1527
9,2,0.87257,0.00070583,0,0.8089,-0.32722
9,3,3.9702,0.021085,0,3.4383,1.9851
9,4,5.6281,0.016601,0,5.3462,1.7588
9,5,7.0678,0.066566,0,6.1209,-3.5339
9,6,7.5478,0.058145,0,6.7871,-3.3021
9,7,7.635,0.019533,0,7.3926,1.9088
10,1,0.69806,0.00031057,0,0.67589,-0.17451
10,2,0.87257,0.00070583,0,0.8089,-0.32722
10,3,3.9702,0.021085,0,3.4383,1.9851
10,4,5.6281,0.016601,0,5.3462,1.7588
10,5,7.0678,0.066566,0,6.1209,-3.5339
10,6,7.5478,0.066725,0,6.6672,-3.538
10,7,7.635,0.019533,0,7.3926,1.9088
11,1,0.69806,0.00035098,0,0.66988,-0.19633
11,2,0.87257,0.00070583,0,0.8089,-0.32722
11,3,3.9702,0.021085,0,3.4383,1.9851
